epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,473.486,2.18787,4.27296,1.26012,0.02953,0.13858,0.04647,0.02446,2.18873,3.85324,1.11278,0.000191739,0.000191739,0.000191739
2,847.589,2.28681,3.25201,1.1336,0.68357,0.10383,0.06572,0.0361,2.15078,3.06795,1.11839,0.000383901,0.000383901,0.000383901
3,1313.54,2.24872,2.73212,1.11118,0.56419,0.10906,0.09775,0.05345,2.12642,2.37784,1.1056,0.000572181,0.000572181,0.000572181
4,1838.46,2.15915,2.41924,1.08962,0.5599,0.15106,0.11775,0.06413,2.04145,2.11093,1.09409,0.000570536,0.000570536,0.000570536
5,2258.07,2.08403,2.18361,1.07213,0.62739,0.14612,0.14415,0.08217,2.00244,1.97905,1.07088,0.000564715,0.000564715,0.000564715
6,2656.54,2.04581,2.04146,1.05655,0.54535,0.17506,0.15082,0.08645,1.96213,1.84414,1.05799,0.000558894,0.000558894,0.000558894
7,3030.23,1.98574,1.94549,1.04036,0.47742,0.19674,0.17018,0.10026,1.95054,1.83058,1.04819,0.000553073,0.000553073,0.000553073
8,3492.84,1.95971,1.83507,1.03528,0.56735,0.21774,0.20003,0.12338,1.95161,1.76007,1.03734,0.000547252,0.000547252,0.000547252
9,4021.36,1.93394,1.79174,1.03171,0.51191,0.25499,0.20408,0.12061,1.89429,1.71139,1.02896,0.00054143,0.00054143,0.00054143
10,4432.04,1.89838,1.75277,1.02276,0.55099,0.26979,0.24869,0.15255,1.8518,1.59826,1.02039,0.000535609,0.000535609,0.000535609
11,4784.81,1.8863,1.71354,1.01751,0.58019,0.27781,0.26756,0.16942,1.81875,1.59036,1.0145,0.000529788,0.000529788,0.000529788
12,5220.73,1.86572,1.67328,1.01818,0.58716,0.31053,0.28873,0.18349,1.80696,1.52669,1.01161,0.000523967,0.000523967,0.000523967
13,5675.87,1.83309,1.63524,1.01198,0.56863,0.30964,0.29707,0.1944,1.85804,1.54385,1.01397,0.000518146,0.000518146,0.000518146
14,6110.24,1.84102,1.59061,1.01127,0.63235,0.29676,0.3224,0.21047,1.74792,1.45554,1.00694,0.000512324,0.000512324,0.000512324
15,6483.77,1.84639,1.59104,0.99868,0.56414,0.32207,0.31914,0.20901,1.76978,1.50344,1.00582,0.000506503,0.000506503,0.000506503
16,6930.44,1.81994,1.57968,1.00613,0.4698,0.30125,0.31139,0.19606,1.75248,1.49098,1.00485,0.000500682,0.000500682,0.000500682
17,7430.64,1.80291,1.53983,0.99502,0.43419,0.37844,0.34817,0.23104,1.70801,1.39816,0.99557,0.000494861,0.000494861,0.000494861
18,8027.54,1.76428,1.50256,0.99215,0.60366,0.34202,0.35539,0.21808,1.84212,1.43354,1.01095,0.00048904,0.00048904,0.00048904
19,8479.31,1.80162,1.49182,0.99166,0.54263,0.36223,0.38712,0.25886,1.69582,1.35909,0.99124,0.000483218,0.000483218,0.000483218
20,8887.68,1.74385,1.45072,0.98376,0.45205,0.36213,0.37616,0.24761,1.71846,1.36156,0.9866,0.000477397,0.000477397,0.000477397
21,9204.24,1.74237,1.43604,0.98522,0.47134,0.4246,0.39524,0.26464,1.69649,1.34401,0.9882,0.000471576,0.000471576,0.000471576
22,9635.04,1.72313,1.39904,0.97664,0.48533,0.42366,0.42086,0.28698,1.67,1.31379,0.98191,0.000465755,0.000465755,0.000465755
23,10040.5,1.72227,1.39893,0.98057,0.52383,0.38584,0.40592,0.27035,1.65834,1.35153,0.98318,0.000459934,0.000459934,0.000459934
24,10429.1,1.74358,1.39412,0.97801,0.53692,0.4379,0.43241,0.27677,1.68767,1.31102,0.98788,0.000454112,0.000454112,0.000454112
25,10784.3,1.73219,1.38315,0.97339,0.58218,0.41137,0.43382,0.28707,1.69891,1.31853,0.98262,0.000448291,0.000448291,0.000448291
26,11157,1.70894,1.35751,0.97333,0.60383,0.42873,0.45974,0.30599,1.64892,1.28229,0.97652,0.00044247,0.00044247,0.00044247
27,11627.8,1.71456,1.35135,0.97604,0.54518,0.43064,0.46954,0.30894,1.67107,1.29119,0.97477,0.000436649,0.000436649,0.000436649
28,12036.9,1.69104,1.34682,0.97505,0.55834,0.46568,0.4733,0.31863,1.65964,1.2567,0.9734,0.000430828,0.000430828,0.000430828
29,12399.6,1.68281,1.33563,0.96753,0.51791,0.48654,0.48484,0.32717,1.6298,1.26039,0.97275,0.000425006,0.000425006,0.000425006
30,12778.2,1.69331,1.3307,0.97088,0.57194,0.46506,0.4931,0.33921,1.60832,1.2274,0.97156,0.000419185,0.000419185,0.000419185
31,13178.8,1.67888,1.30423,0.96168,0.56286,0.50825,0.53233,0.35867,1.61063,1.19715,0.97306,0.000413364,0.000413364,0.000413364
32,13550.6,1.64987,1.26503,0.96432,0.54284,0.49152,0.50319,0.34209,1.60568,1.21253,0.96505,0.000407543,0.000407543,0.000407543
33,13952.9,1.65403,1.26132,0.96011,0.59667,0.47952,0.53003,0.35368,1.62911,1.18861,0.96987,0.000401722,0.000401722,0.000401722
34,14444.5,1.68918,1.27044,0.96207,0.54506,0.49079,0.50789,0.35016,1.60392,1.2078,0.96757,0.0003959,0.0003959,0.0003959
35,14991,1.66978,1.25427,0.95353,0.6158,0.44238,0.48943,0.31367,1.69751,1.28355,0.98226,0.000390079,0.000390079,0.000390079
36,15480.1,1.65527,1.23585,0.96128,0.62652,0.48421,0.5302,0.36117,1.60271,1.2239,0.96615,0.000384258,0.000384258,0.000384258
37,15917.9,1.65172,1.22719,0.95506,0.64122,0.50415,0.54663,0.37268,1.59629,1.14592,0.96008,0.000378437,0.000378437,0.000378437
38,16404.3,1.60388,1.20937,0.95029,0.58214,0.49026,0.52747,0.35946,1.5874,1.20657,0.95952,0.000372616,0.000372616,0.000372616
39,16855.9,1.66919,1.24607,0.95542,0.60835,0.53193,0.56443,0.39091,1.57381,1.13123,0.95552,0.000366794,0.000366794,0.000366794
40,17238.6,1.63786,1.21564,0.95765,0.72378,0.50151,0.55529,0.37661,1.60033,1.14494,0.96032,0.000360973,0.000360973,0.000360973
41,17644.8,1.6157,1.19286,0.94932,0.60922,0.52725,0.57307,0.37906,1.63261,1.14679,0.96493,0.000355152,0.000355152,0.000355152
42,17999.8,1.62845,1.18615,0.95124,0.65987,0.51839,0.57937,0.39493,1.57608,1.14027,0.95739,0.000349331,0.000349331,0.000349331
43,18380.5,1.58418,1.1742,0.94693,0.63442,0.50231,0.55773,0.38011,1.59603,1.12052,0.95852,0.00034351,0.00034351,0.00034351
44,18827.1,1.60563,1.16441,0.94323,0.6247,0.53875,0.5715,0.39324,1.56988,1.1334,0.95639,0.000337688,0.000337688,0.000337688
45,19208.5,1.6049,1.17144,0.94783,0.67062,0.51872,0.5658,0.38815,1.57446,1.10686,0.95691,0.000331867,0.000331867,0.000331867
46,19615.1,1.59922,1.15401,0.94475,0.66892,0.50118,0.56503,0.36923,1.59525,1.13212,0.95942,0.000326046,0.000326046,0.000326046
47,20037.5,1.59797,1.16127,0.94536,0.66931,0.52738,0.57842,0.39067,1.5833,1.13742,0.95611,0.000320225,0.000320225,0.000320225
48,20328,1.56776,1.13612,0.93914,0.68239,0.5311,0.6002,0.41467,1.5522,1.08429,0.94801,0.000314404,0.000314404,0.000314404
49,20781.5,1.61613,1.14755,0.94044,0.70026,0.54075,0.60731,0.42264,1.55139,1.07951,0.94991,0.000308582,0.000308582,0.000308582
50,21112.2,1.58309,1.13332,0.93974,0.7336,0.53009,0.60248,0.42496,1.53287,1.06229,0.94644,0.000302761,0.000302761,0.000302761
51,21574.7,1.56379,1.12471,0.93771,0.67862,0.56783,0.61622,0.43501,1.52977,1.05377,0.94804,0.00029694,0.00029694,0.00029694
52,21914.4,1.56638,1.11969,0.93505,0.71922,0.5573,0.62299,0.43497,1.53899,1.05431,0.94729,0.000291119,0.000291119,0.000291119
53,22308.4,1.54988,1.11688,0.94185,0.73915,0.54689,0.62825,0.43777,1.53909,1.06166,0.94991,0.000285298,0.000285298,0.000285298
54,22661.5,1.56035,1.11351,0.93961,0.65063,0.54697,0.58922,0.41509,1.54168,1.08744,0.94676,0.000279476,0.000279476,0.000279476
55,23027.5,1.5622,1.10517,0.93625,0.67095,0.5802,0.62554,0.43234,1.53527,1.06594,0.94767,0.000273655,0.000273655,0.000273655
56,23352.3,1.57959,1.11705,0.94091,0.7395,0.55234,0.62625,0.4279,1.54838,1.05611,0.95281,0.000267834,0.000267834,0.000267834
57,23642.7,1.55941,1.1031,0.93735,0.73424,0.5513,0.62608,0.43139,1.52947,1.05756,0.94932,0.000262013,0.000262013,0.000262013
58,24104.3,1.5719,1.10701,0.93762,0.71,0.57397,0.63494,0.44072,1.53199,1.04513,0.94587,0.000256192,0.000256192,0.000256192
59,24515.5,1.56579,1.10704,0.93354,0.70176,0.57975,0.64451,0.45243,1.51395,1.01569,0.94186,0.00025037,0.00025037,0.00025037
60,24985.6,1.55129,1.09155,0.92937,0.69635,0.59507,0.64302,0.45132,1.51852,1.033,0.94247,0.000244549,0.000244549,0.000244549
61,25311.4,1.56568,1.09161,0.93746,0.65418,0.573,0.61491,0.43252,1.52718,1.05051,0.94591,0.000238728,0.000238728,0.000238728
62,25583.9,1.54464,1.07298,0.92947,0.7043,0.60035,0.65451,0.45945,1.50872,1.00925,0.94135,0.000232907,0.000232907,0.000232907
63,26061.4,1.56862,1.0906,0.93374,0.72478,0.58998,0.65673,0.46357,1.52424,1.00201,0.9412,0.000227086,0.000227086,0.000227086
64,26404.5,1.54119,1.06243,0.93102,0.72516,0.5853,0.65822,0.46468,1.50902,1.02015,0.94023,0.000221264,0.000221264,0.000221264
65,26801.4,1.53102,1.05444,0.93084,0.77667,0.57246,0.65018,0.46281,1.50798,1.01207,0.94246,0.000215443,0.000215443,0.000215443
66,27239,1.57528,1.08407,0.93367,0.74469,0.58051,0.65794,0.45035,1.52342,1.01713,0.9392,0.000209622,0.000209622,0.000209622
67,27618.6,1.54246,1.06529,0.93398,0.75126,0.57007,0.64955,0.44928,1.53454,1.01772,0.94839,0.000203801,0.000203801,0.000203801
68,27921.9,1.52066,1.04519,0.92682,0.7297,0.60506,0.66306,0.46419,1.49714,0.98765,0.93857,0.00019798,0.00019798,0.00019798
69,28311.7,1.52262,1.0517,0.92819,0.7087,0.58925,0.65069,0.45008,1.55069,1.02971,0.94898,0.000192158,0.000192158,0.000192158
70,28739.1,1.5132,1.03578,0.92638,0.79469,0.57691,0.6643,0.46671,1.488,0.99369,0.93687,0.000186337,0.000186337,0.000186337
71,29075.1,1.52977,1.04622,0.92804,0.72196,0.60449,0.66494,0.45779,1.53306,1.01689,0.94422,0.000180516,0.000180516,0.000180516
72,29519,1.50474,1.03732,0.9233,0.74496,0.57157,0.64979,0.44842,1.53677,1.00371,0.94467,0.000174695,0.000174695,0.000174695
73,29938.3,1.52388,1.03936,0.92924,0.77248,0.60025,0.67076,0.47413,1.49089,0.97829,0.93834,0.000168874,0.000168874,0.000168874
74,30376.3,1.51041,1.03436,0.92115,0.76122,0.59641,0.67695,0.4724,1.4989,0.97967,0.93828,0.000163052,0.000163052,0.000163052
75,30825.2,1.47574,1.00848,0.92178,0.74445,0.62071,0.67609,0.47943,1.47718,0.95798,0.93412,0.000157231,0.000157231,0.000157231
76,31148.4,1.49042,1.0254,0.9189,0.74993,0.6088,0.67848,0.47832,1.47811,0.9677,0.93558,0.00015141,0.00015141,0.00015141
77,31589.5,1.50103,1.01821,0.91888,0.74185,0.62008,0.67285,0.47286,1.48067,0.95792,0.93315,0.000145589,0.000145589,0.000145589
78,31997,1.47845,1.00979,0.91385,0.77737,0.61266,0.68215,0.47594,1.5085,0.96316,0.93652,0.000139768,0.000139768,0.000139768
79,32500.5,1.49603,1.00912,0.91984,0.73342,0.62485,0.6791,0.47496,1.49372,0.96116,0.93638,0.000133946,0.000133946,0.000133946
80,32861.3,1.47631,0.99484,0.91782,0.78784,0.6081,0.67587,0.4724,1.49346,0.95423,0.93816,0.000128125,0.000128125,0.000128125
81,33296.7,1.49451,1.0103,0.91985,0.7504,0.6061,0.67879,0.4747,1.49267,0.97821,0.93642,0.000122304,0.000122304,0.000122304
82,33706.6,1.46393,0.99234,0.91131,0.78047,0.61437,0.6864,0.47914,1.49281,0.95824,0.93441,0.000116483,0.000116483,0.000116483
