epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.1184,2.29004,4.02209,1.28166,0.76135,0.06497,0.05848,0.03282,2.21187,2.90711,1.15463,0.000195279,0.000195279,0.000195279
2,138.777,2.32802,3.05715,1.17161,0.62891,0.09724,0.07963,0.04308,2.19168,2.56251,1.10696,0.000388051,0.000388051,0.000388051
3,202.804,2.21388,2.62733,1.13345,0.48349,0.11459,0.09127,0.05097,2.06682,2.22299,1.10724,0.000577589,0.000577589,0.000577589
4,265.723,2.19684,2.45042,1.13019,0.43903,0.15994,0.1402,0.07735,2.01129,2.05926,1.08409,0.000573447,0.000573447,0.000573447
5,334.34,2.09991,2.25732,1.10812,0.428,0.17405,0.16478,0.09648,2.00102,1.97018,1.07911,0.000568596,0.000568596,0.000568596
6,400.592,2.11147,2.2094,1.10727,0.44643,0.19287,0.14512,0.08416,1.95249,1.89293,1.07053,0.000563745,0.000563745,0.000563745
7,471.072,2.06342,2.09265,1.09564,0.4689,0.20669,0.16612,0.09385,1.95132,1.84975,1.06695,0.000558894,0.000558894,0.000558894
8,541.102,2.05634,2.05933,1.08882,0.40009,0.25335,0.19315,0.11586,1.99006,1.85257,1.06693,0.000554043,0.000554043,0.000554043
9,607.711,2.00221,2.01533,1.08516,0.52402,0.27372,0.20768,0.12588,1.9006,1.75133,1.04886,0.000549192,0.000549192,0.000549192
10,675.714,1.9747,1.94815,1.06509,0.5536,0.26918,0.23229,0.14155,1.93955,1.7775,1.05383,0.000544341,0.000544341,0.000544341
11,741.85,1.96058,1.90819,1.06679,0.55436,0.30042,0.25252,0.15821,1.87174,1.70262,1.04446,0.00053949,0.00053949,0.00053949
12,807.344,1.94425,1.89291,1.06395,0.52735,0.29132,0.26744,0.17239,1.84498,1.66918,1.04029,0.000534639,0.000534639,0.000534639
13,879.105,1.95509,1.86554,1.06154,0.57438,0.29916,0.30637,0.19683,1.8641,1.67423,1.04386,0.000529788,0.000529788,0.000529788
14,950.512,1.91483,1.83628,1.05976,0.6191,0.29959,0.30702,0.19686,1.83,1.60294,1.04149,0.000524937,0.000524937,0.000524937
15,1017.25,1.89838,1.79241,1.05072,0.62232,0.30959,0.33194,0.21863,1.80613,1.60699,1.03487,0.000520086,0.000520086,0.000520086
16,1081.62,1.89399,1.79081,1.05652,0.51973,0.33544,0.33866,0.22289,1.80711,1.57834,1.03721,0.000515235,0.000515235,0.000515235
17,1146.26,1.8984,1.75167,1.04308,0.59896,0.34029,0.33394,0.21704,1.79581,1.59511,1.02761,0.000510384,0.000510384,0.000510384
18,1215.17,1.89291,1.71869,1.04405,0.61644,0.33154,0.35245,0.23255,1.79723,1.52886,1.02927,0.000505533,0.000505533,0.000505533
19,1281.13,1.87814,1.71383,1.04583,0.6199,0.35418,0.36179,0.23936,1.78916,1.55356,1.02453,0.000500682,0.000500682,0.000500682
20,1346.07,1.83622,1.66709,1.02348,0.54872,0.35682,0.36833,0.24116,1.80213,1.53181,1.0279,0.000495831,0.000495831,0.000495831
21,1411.7,1.85634,1.65881,1.0279,0.59147,0.34999,0.37507,0.24657,1.76768,1.49605,1.0251,0.00049098,0.00049098,0.00049098
22,1476.75,1.88034,1.64929,1.02982,0.45929,0.39197,0.3746,0.24714,1.79088,1.52582,1.02863,0.000486129,0.000486129,0.000486129
23,1546.75,1.84722,1.61836,1.02342,0.46637,0.40236,0.38503,0.25331,1.7517,1.50028,1.01847,0.000481278,0.000481278,0.000481278
24,1611.72,1.85643,1.62403,1.02457,0.58376,0.36312,0.39023,0.25438,1.83267,1.49989,1.02856,0.000476427,0.000476427,0.000476427
25,1678.29,1.83301,1.57961,1.02401,0.67446,0.35861,0.40581,0.26537,1.77511,1.46139,1.01543,0.000471576,0.000471576,0.000471576
26,1746.33,1.8171,1.56885,1.02118,0.63175,0.37212,0.41909,0.27554,1.76129,1.44968,1.01212,0.000466725,0.000466725,0.000466725
27,1811.14,1.78569,1.55309,1.01887,0.53377,0.36233,0.39304,0.25758,1.74208,1.46005,1.00819,0.000461874,0.000461874,0.000461874
28,1877.3,1.78966,1.54205,1.01696,0.46649,0.40259,0.411,0.27714,1.76454,1.43646,1.01237,0.000457023,0.000457023,0.000457023
29,1944.11,1.80366,1.5447,1.01723,0.52117,0.40973,0.42402,0.28216,1.73459,1.48793,1.01107,0.000452172,0.000452172,0.000452172
30,2009.03,1.75128,1.51625,1.01014,0.50897,0.42073,0.43238,0.29007,1.73042,1.41264,1.00978,0.000447321,0.000447321,0.000447321
31,2073.55,1.77659,1.49241,1.00602,0.4888,0.44084,0.44167,0.30135,1.71034,1.36941,1.00409,0.00044247,0.00044247,0.00044247
32,2139.28,1.80638,1.53668,1.01662,0.56209,0.42108,0.43494,0.2922,1.73319,1.39653,1.0065,0.000437619,0.000437619,0.000437619
33,2202.8,1.74587,1.4785,1.00958,0.53009,0.44421,0.45944,0.31284,1.70722,1.36402,0.99685,0.000432768,0.000432768,0.000432768
34,2266.37,1.79433,1.49651,1.00289,0.51621,0.47274,0.47977,0.32451,1.7111,1.38162,1.0018,0.000427917,0.000427917,0.000427917
35,2333.84,1.76536,1.46588,0.99977,0.53315,0.45146,0.46958,0.31487,1.69467,1.35162,0.99598,0.000423066,0.000423066,0.000423066
36,2398.15,1.77011,1.45508,1.00527,0.56707,0.47355,0.49103,0.33535,1.67869,1.35662,0.9945,0.000418215,0.000418215,0.000418215
37,2468.33,1.74313,1.44719,0.99776,0.50962,0.50657,0.50052,0.3304,1.70427,1.34313,0.99794,0.000413364,0.000413364,0.000413364
38,2534.73,1.74767,1.41802,0.99602,0.56215,0.49366,0.51441,0.34637,1.68115,1.32868,0.99338,0.000408513,0.000408513,0.000408513
39,2599.64,1.73774,1.42352,0.99835,0.58833,0.48989,0.51009,0.3491,1.66347,1.31801,0.99014,0.000403662,0.000403662,0.000403662
40,2662.83,1.73371,1.41081,0.99767,0.60205,0.48904,0.50624,0.34403,1.67423,1.32008,0.99233,0.000398811,0.000398811,0.000398811
41,2728.58,1.7361,1.39482,0.99903,0.50409,0.52678,0.51655,0.34377,1.69336,1.33114,0.99261,0.00039396,0.00039396,0.00039396
42,2795.83,1.72365,1.37945,0.99046,0.56146,0.50431,0.52105,0.35369,1.67638,1.28218,0.98923,0.000389109,0.000389109,0.000389109
43,2859.51,1.72099,1.38664,0.99542,0.57507,0.49905,0.51977,0.34866,1.73033,1.30897,0.99841,0.000384258,0.000384258,0.000384258
44,2923.13,1.73512,1.38153,0.99448,0.56373,0.48166,0.51399,0.35248,1.65746,1.30367,0.98543,0.000379407,0.000379407,0.000379407
45,2989.02,1.73497,1.36493,0.99494,0.54667,0.51672,0.5211,0.35804,1.67787,1.31078,0.99114,0.000374556,0.000374556,0.000374556
46,3054.12,1.73547,1.35761,0.9941,0.58475,0.50148,0.52261,0.3481,1.6777,1.27571,0.98979,0.000369705,0.000369705,0.000369705
47,3118.88,1.6925,1.33657,0.98403,0.56245,0.52254,0.54501,0.37336,1.66499,1.25839,0.98541,0.000364854,0.000364854,0.000364854
48,3182.45,1.70009,1.333,0.98955,0.56897,0.52641,0.53932,0.36361,1.67437,1.27242,0.98594,0.000360003,0.000360003,0.000360003
49,3250.71,1.70395,1.31419,0.98117,0.55997,0.54141,0.54695,0.36561,1.68618,1.26871,0.98723,0.000355152,0.000355152,0.000355152
50,3319.38,1.71935,1.3446,0.99141,0.66601,0.50221,0.54204,0.36934,1.66957,1.26204,0.98973,0.000350301,0.000350301,0.000350301
